image_file,coordinates
TS-373_IMC01_UB_001.tiff,"[([-0.06319578805678816, 446.69689164037334], [90.84995663828356, 476.08296111151367], [567.4552708733406, 773.6169145068094], [803.4621413134363, 1000.4406382371737], [-0.06319578805681658, 968.2996247531141])]"
TS-373_IMC03_MGUS_001.tiff,"[([0.030533696644141628, 0.030533696644141628], [423.2173982139745, 0.030533696644141628], [427.7580298075081, 225.2458607359101], [0.030533696644127417, 245.22463974745787])]"
TS-373_IMC03_MGUS_002.tiff,"[([-0.09491041493419061, -0.0949104149341764], [31.24499243128824, -0.0949104149341764], [-0.0949104149341764, 42.306134612307915])]"
TS-373_IMC08_UB_002.tiff,"[([337.269926106166, 1000.016695118928], [336.34816425774767, 895.8576062476594], [672.7912389304295, 901.3881773381693], [675.5565244756843, 1000.016695118928])]"
TS-373_IMC23_B_001.tiff,"[([0.40689796270334, 901.5226040333366], [58.02865978719046, 999.9228434566917], [-0.4795906807503201, 999.9228434566917])]"
TS-373_IMC33_B_002.tiff,"[([-0.07598888237659196, 971.1717254742813], [122.34262942393065, 972.0718623735924], [124.1429032225528, 999.9761062522358], [-0.07598888237659196, 999.9761062522358])]"
TS-373_IMC34_B_001.tiff,"[([0.4582814403034803, 916.1187153594562], [93.24040115862392, 999.8928622895901], [0.4582814403034803, 998.9920650107715])]"
TS-373_IMC49_B_002.tiff,"[([1000.2511233943469, 221.1615171882848], [698.2517262851251, 267.62296289739584], [708.5764919982608, 175.56046862193506], [644.0467062911622, 39.61772006564718], [676.7417977160922, 16.386997211091654], [1000.2511233943469, 64.56923720572533])]"
TS-373_IMC58_B_002.tiff,"[([0.27061450206628024, 719.1256642877677], [243.71109761967804, 881.4193196995088], [439.5219209968876, 936.9872560633115], [443.0500439406211, 997.8473768427144], [0.27061450206629445, 997.8473768427144])]"
TS-373_IMC64_B_002.tiff,"[([218.1501206243109, 999.8209313872753], [213.8481349105043, 883.6673171144978], [559.7277863005532, 902.5960542552467], [570.052552013689, 999.8209313872753])]"
TS-373_IMC86_B_002.tiff,"[([-0.21189433125621804, 911.0010978870265], [87.55112604947271, 999.6596592920486], [-0.21189433125621804, 1005.9284464621006])]"
