channel,name,keep,ilastik,deepcell,cellpose
ArAr80, 1,1,1,,
I127, 2,1,2,,
Xe131, 3,1,3,,
Xe134, 4,1,4,,
Ba138, 5,1,5,,
Pr141,CD38,1,6,,
Nd142,Perilipin,1,7,,
Nd143,Vimentin,1,8,,
Nd144,B4GALT1,1,9,,
Nd145,MPO,1,10,,
Nd146,CathepsinK,1,11,,
Nd148,ATP5A,1,12,,
Sm149,RUNX2,1,13,,
Nd150,HIF1A,1,14,,
Eu151,CD11b,1,15,,
Sm152,CD45,1,16,,
Eu153,CS,1,17,,
Sm154,CD11c,1,18,,
Gd155,CD36,1,19,,
Gd156,CD4,1,20,,
Gd158,CD34,1,21,,
Tb159,CD68,1,22,,
Gd160,IL32,1,23,,
Dy161,IDO,1,24,,
Dy162,CD8,1,25,,
Dy163,GranzymeK,1,26,,
Dy164,PKM2,1,27,,
Ho165,IRF4,1,28,,
Er166,GLUT1,1,29,,
Er167,GranzymeB,1,30,,
Er168,Ki67,1,31,,
Tm169,CollagenTypeI,1,32,,
Er170,CD3,1,33,,
Yb171,HistoneH3,1,34,1,
Yb172,CPT1A,1,35,,
Yb173,CD98,1,36,2,
Yb174,HLA-DR,1,37,,
Lu175,ST6GAL1,1,38,,
Yb176,CD138,1,39,,
Ir191,191Ir,1,40,,
Ir193,193Ir,1,41,,
Pb208, 6,1,42,,
